P,deg,unimodular,bezout_U,bezout_V,bezout_residual,baker_interior_pts,genus,n_special_c,reducible_c,all_fibres_irreducible,mate_verdict,mate_top_D,mate_deg_bound_multiple,lambda_support,lambda_verified,certificate_id,rational_mate_found,rational_mate_poles,rational_mate_denominators_tried,source
2*x**2*y**3 - x + 3,5,True,-4*x*y**3 - 1,8*y**4/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**2*y**3 - x - 1,5,True,-4*x*y**3 - 1,8*y**4/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**2*y**3 - x - 2,5,True,-4*x*y**3 - 1,8*y**4/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**2*y**3 - x - 3,5,True,-4*x*y**3 - 1,8*y**4/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y + 1,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y + 2,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y + 3,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y - 1,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y - 2,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 2*y - 3,5,True,2*x**4/3,-x**3*y + 1/2,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y + 1,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y + 2,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y + 3,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y - 1,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y - 2,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + 3*y - 3,5,True,8*x**4/27,-4*x**3*y/9 + 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y + 1,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y + 2,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y + 3,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y - 1,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y - 2,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 + y - 3,5,True,8*x**4/3,-4*x**3*y + 1,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y + 1,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y + 2,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y + 3,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y - 1,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y - 2,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 2*y - 3,5,True,2*x**4/3,-x**3*y - 1/2,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y + 1,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y + 2,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y + 3,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y - 1,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y - 2,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - 3*y - 3,5,True,8*x**4/27,-4*x**3*y/9 - 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y + 1,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y + 2,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y + 3,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y - 1,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y - 2,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**3*y**2 - y - 3,5,True,8*x**4/3,-4*x**3*y - 1,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x + 1,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x + 2,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x + 3,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x - 1,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x - 2,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 2*x - 3,5,True,-3*x*y**3/2 + 1/2,y**4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x + 1,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x + 2,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x + 3,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x - 1,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x - 2,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + 3*x - 3,5,True,-2*x*y**3/3 + 1/3,4*y**4/9,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x + 1,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x + 2,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x + 3,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x - 1,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x - 2,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 + x - 3,5,True,-6*x*y**3 + 1,4*y**4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x + 1,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x + 2,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x + 3,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x - 1,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x - 2,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 2*x - 3,5,True,-3*x*y**3/2 - 1/2,y**4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x + 1,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x + 2,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x + 3,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x - 1,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x - 2,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - 3*x - 3,5,True,-2*x*y**3/3 - 1/3,4*y**4/9,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - x + 1,5,True,-6*x*y**3 - 1,4*y**4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - x + 2,5,True,-6*x*y**3 - 1,4*y**4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - x + 3,5,True,-6*x*y**3 - 1,4*y**4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**3 - x - 1,5,True,-6*x*y**3 - 1,4*y**4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
